"","Genotype","APA2","TrainSessionComboNum","conflict","m","se","len","measure"
"76","WT","yoked-consistent",4,"consistent",14.5,1.93649167310371,4,"Number of Entrances"
"77","WT","yoked-consistent",5,"consistent",15.25,2.32289331079439,4,"Number of Entrances"
"78","WT","yoked-consistent",6,"consistent",13.75,2.25,4,"Number of Entrances"
"79","WT","yoked-consistent",7,"consistent",17,2.34520787991171,4,"Number of Entrances"
"80","WT","yoked-consistent",8,"consistent",16.25,3.42478709800575,4,"Number of Entrances"
"81","WT","yoked-consistent",9,"consistent",21.5,1.25830573921179,4,"Number of Entrances"
"82","WT","consistent",1,"consistent",28.125,1.60843202263216,8,"Number of Entrances"
"83","WT","consistent",2,"consistent",10.625,1.06800046816469,8,"Number of Entrances"
"84","WT","consistent",3,"consistent",9.25,1.71911522093696,8,"Number of Entrances"
"85","WT","consistent",4,"consistent",4.75,0.881354477089505,8,"Number of Entrances"
"86","WT","consistent",5,"consistent",6.75,1.93418495200729,8,"Number of Entrances"
"87","WT","consistent",6,"consistent",4.75,1.80029759444694,8,"Number of Entrances"
"88","WT","consistent",7,"consistent",4.5,1.99105140925234,8,"Number of Entrances"
"89","WT","consistent",8,"consistent",2.75,1.42365224485677,8,"Number of Entrances"
"90","WT","consistent",9,"consistent",8.625,2.41230106507696,8,"Number of Entrances"
"91","WT","yoked-conflict",1,"conflict",27.6666666666667,6.9602043392737,3,"Number of Entrances"
"92","WT","yoked-conflict",2,"conflict",14,4,3,"Number of Entrances"
"93","WT","yoked-conflict",3,"conflict",14.3333333333333,2.33333333333333,3,"Number of Entrances"
"94","WT","yoked-conflict",4,"conflict",15,2.88675134594813,3,"Number of Entrances"
"95","WT","yoked-conflict",5,"conflict",11,3.78593889720018,3,"Number of Entrances"
"96","WT","yoked-conflict",6,"conflict",19,2.64575131106459,3,"Number of Entrances"
"97","WT","yoked-conflict",7,"conflict",16,5,2,"Number of Entrances"
"98","WT","yoked-conflict",8,"conflict",16.3333333333333,1.66666666666667,3,"Number of Entrances"
"99","WT","yoked-conflict",9,"conflict",20.3333333333333,1.45296631451356,3,"Number of Entrances"
"100","WT","conflict",1,"conflict",29.8888888888889,1.3275336828165,9,"Number of Entrances"
"101","WT","conflict",2,"conflict",8.11111111111111,1.05993244601883,9,"Number of Entrances"
"102","WT","conflict",3,"conflict",6.55555555555556,1.74093773511027,9,"Number of Entrances"
"103","WT","conflict",4,"conflict",4.44444444444444,1.02890328763623,9,"Number of Entrances"
"104","WT","conflict",5,"conflict",4.22222222222222,1.12765461834358,9,"Number of Entrances"
"105","WT","conflict",6,"conflict",13.4444444444444,2.19918615698772,9,"Number of Entrances"
"106","WT","conflict",7,"conflict",6.11111111111111,1.67866054774868,9,"Number of Entrances"
"107","WT","conflict",8,"conflict",2.88888888888889,0.934589102292262,9,"Number of Entrances"
"108","WT","conflict",9,"conflict",10,2.72845092395748,9,"Number of Entrances"
"109","FMR1KO","yoked-consistent",1,"consistent",30.25,1.75,4,"Number of Entrances"
"110","FMR1KO","yoked-consistent",2,"consistent",8.66666666666667,1.20185042515466,3,"Number of Entrances"
"111","FMR1KO","yoked-consistent",3,"consistent",13.4,1.16619037896906,5,"Number of Entrances"
"112","FMR1KO","yoked-consistent",4,"consistent",18,2.08166599946613,3,"Number of Entrances"
"113","FMR1KO","yoked-consistent",5,"consistent",16.3333333333333,3.84418753155693,3,"Number of Entrances"
"114","FMR1KO","yoked-consistent",6,"consistent",15.8,1.31909059582729,5,"Number of Entrances"
"115","FMR1KO","yoked-consistent",7,"consistent",16.8,1.90787840283389,5,"Number of Entrances"
"116","FMR1KO","yoked-consistent",8,"consistent",13,2.42899156029822,5,"Number of Entrances"
"117","FMR1KO","yoked-consistent",9,"consistent",22.7142857142857,2.7577966162991,7,"Number of Entrances"
"118","FMR1KO","consistent",1,"consistent",31.4285714285714,1.83688585923675,7,"Number of Entrances"
"119","FMR1KO","consistent",2,"consistent",9.57142857142857,1.17224129762773,7,"Number of Entrances"
"120","FMR1KO","consistent",3,"consistent",6.85714285714286,1.183790751872,7,"Number of Entrances"
"121","FMR1KO","consistent",4,"consistent",6.14285714285714,1.80513251628808,7,"Number of Entrances"
"122","FMR1KO","consistent",5,"consistent",5.2,1.95959179422654,5,"Number of Entrances"
"123","FMR1KO","consistent",6,"consistent",6.28571428571429,1.0626625525915,7,"Number of Entrances"
"124","FMR1KO","consistent",7,"consistent",7,2.78088714861523,6,"Number of Entrances"
"125","FMR1KO","consistent",8,"consistent",4.5,1.802775637732,6,"Number of Entrances"
"126","FMR1KO","consistent",9,"consistent",9.77777777777778,1.87659397267273,9,"Number of Entrances"
"127","FMR1KO","yoked-conflict",1,"conflict",22.5,2.59807621135332,4,"Number of Entrances"
"128","FMR1KO","yoked-conflict",2,"conflict",14.5,1.5545631755148,4,"Number of Entrances"
"129","FMR1KO","yoked-conflict",3,"conflict",13.5,1.25830573921179,4,"Number of Entrances"
"130","FMR1KO","yoked-conflict",4,"conflict",17.25,1.88745860881769,4,"Number of Entrances"
"131","FMR1KO","yoked-conflict",5,"conflict",19.3333333333333,4.80740170061865,3,"Number of Entrances"
"132","FMR1KO","yoked-conflict",6,"conflict",19,2.94392028877595,4,"Number of Entrances"
"133","FMR1KO","yoked-conflict",7,"conflict",14.5,2.17944947177034,4,"Number of Entrances"
"134","FMR1KO","yoked-conflict",8,"conflict",15,1,3,"Number of Entrances"
"135","FMR1KO","yoked-conflict",9,"conflict",17.6,2.06397674405503,5,"Number of Entrances"
"136","FMR1KO","conflict",1,"conflict",26,1.82574185835055,4,"Number of Entrances"
"137","FMR1KO","conflict",2,"conflict",10.25,1.25,4,"Number of Entrances"
"138","FMR1KO","conflict",3,"conflict",5.25,0.853912563829966,4,"Number of Entrances"
"139","FMR1KO","conflict",4,"conflict",7.75,2.59406373604556,4,"Number of Entrances"
"140","FMR1KO","conflict",5,"conflict",7.33333333333333,5.84047182264508,3,"Number of Entrances"
"141","FMR1KO","conflict",6,"conflict",10.5,3.66287682930599,4,"Number of Entrances"
"142","FMR1KO","conflict",7,"conflict",8.25,3.56779577143461,4,"Number of Entrances"
"143","FMR1KO","conflict",8,"conflict",6.5,2.3629078131263,4,"Number of Entrances"
"144","FMR1KO","conflict",9,"conflict",7.8,1.31909059582729,5,"Number of Entrances"
