"","pvalgenotypeFMR1WT","padjgenotypeFMR1WT","log2FoldChange","rownames"
"Ddx60",0.558814826223573,0.999781696584314,-0.348493389820482,"Ddx60"
"Deaf1",0.422092993865481,0.986225316736211,0.0869730559739822,"Deaf1"
"Dear1",0.223145980676253,0.887883083043304,0.698663972844771,"Dear1"
"Deb1",0.48172224951288,0.999781696584314,-0.0924601189327716,"Deb1"
"Decr1",0.0851911405940721,0.666285688028323,0.170311227300641,"Decr1"
"Decr2",0.317484500420101,0.95020542738225,-0.0609352864178896,"Decr2"
"Dedd",0.0748136659623327,0.630888818661858,-0.106303499584721,"Dedd"
"Dedd2",0.787153941367988,0.999781696584314,-0.0306596596384963,"Dedd2"
"Def6",0.599164169901167,0.999781696584314,-0.156191343364876,"Def6"
"Def8",0.25616673688372,0.909745918350503,-0.0823465732676561,"Def8"
"Defb1",0.232425270401193,0.893231014488102,-1.64822136516706,"Defb1"
"Defb10",0.458062356987074,0.99684247778883,2.1515210312761,"Defb10"
"Defb11",0.309695715376204,0.947082019659927,0.261616252187217,"Defb11"
"Defb25",0.670153806054576,0.999781696584314,0.703719229969412,"Defb25"
"Defb30",0.613895652228971,0.999781696584314,0.811072092089771,"Defb30"
"Defb35",0.661612668815445,0.999781696584314,1.21027902995063,"Defb35"
"Defb9",0.506141202435091,0.999781696584314,1.05012168425121,"Defb9"
"Degs1",0.0129355006799764,0.297971119317095,0.202260845654596,"Degs1"
"Degs2",0.298670177596105,0.940292563072572,0.211268384525206,"Degs2"
"Dek",0.11950144752304,0.756550889338474,0.154459132734107,"Dek"
"Dennd1a",0.754293840959636,0.999781696584314,-0.0228397236189636,"Dennd1a"
"Dennd1b",0.478896401367153,0.999781696584314,-0.136645495722557,"Dennd1b"
"Dennd1c",0.527816555452868,0.999781696584314,0.270659282755391,"Dennd1c"
"Dennd2a",0.553672126292089,0.999781696584314,0.029735741025364,"Dennd2a"
"Dennd2c",0.00711157389942244,0.216451390238691,1.50866985820909,"Dennd2c"
"Dennd2d",0.127218092522493,0.775803771677832,0.465581249639519,"Dennd2d"
"Dennd3",0.695785360649047,0.999781696584314,0.0780848693978505,"Dennd3"
"Dennd4a",0.347275812167912,0.963250611061479,-0.0779291417171199,"Dennd4a"
"Dennd4b",0.850953205704138,0.999781696584314,-0.0155857397138243,"Dennd4b"
"Dennd4c",0.895761300540564,0.999781696584314,0.0173610440691668,"Dennd4c"
"Dennd5a",9.24826991606404e-06,0.00159986426304996,-0.175004458417446,"Dennd5a"
"Dennd5b",0.657041673180386,0.999781696584314,0.0277355786792018,"Dennd5b"
"Dennd6a",0.915744895691393,0.999781696584314,0.0149164674091953,"Dennd6a"
"Dennd6b",0.249003567813178,0.905179144322941,0.287629433911274,"Dennd6b"
"Denr",0.385068447424711,0.977587091717444,0.063319819612086,"Denr"
"Depdc1a",0.812895230787164,0.999781696584314,-0.550008976816696,"Depdc1a"
"Depdc1b",0.133208861145217,0.786742138944867,-1.28311764227989,"Depdc1b"
"Depdc5",0.0306992625236231,0.435326984219967,-0.135116437770226,"Depdc5"
"Depdc7",0.903788686488885,0.999781696584314,0.0188729679090068,"Depdc7"
"Deptor",0.401795221074902,0.979657518735847,0.107578878439247,"Deptor"
"Dera",0.932577961676132,0.999781696584314,-0.02124539250077,"Dera"
"Derl1",0.000163546403490654,0.0186866909173581,0.165797779275313,"Derl1"
"Derl2",0.762101536351326,0.999781696584314,0.0250714334389203,"Derl2"
"Derl3",0.874117969158228,0.999781696584314,-0.0575904056897827,"Derl3"
"Des",0.13757516189616,0.791335067339316,0.333675850341935,"Des"
"Desi1",0.417174219892557,0.9854161576985,-0.0681033067197613,"Desi1"
"Desi2",0.719434837047871,0.999781696584314,-0.0705475605530742,"Desi2"
"Det1",0.00776413014511628,0.227756020580194,-0.341665634621301,"Det1"
"Dexi",0.327227849593521,0.955546630964823,-0.0719904134819558,"Dexi"
"Dffa",0.205006977319443,0.868148970529145,0.0981499826154038,"Dffa"
"Dffb",0.420776871452786,0.985535372451227,0.168806109305167,"Dffb"
"Dfna5",0.865413647351129,0.999781696584314,0.0199942677011985,"Dfna5"
"Dfnb59",0.0052984376856997,0.182905939463254,8.10216750926357,"Dfnb59"
"Dgat1",0.0257286553600208,0.401475698913838,0.313126014866576,"Dgat1"
"Dgat2",0.518335503458586,0.999781696584314,-0.0279148098745513,"Dgat2"
"Dgat2l6",0.945354213598927,0.999781696584314,-0.0360233082703531,"Dgat2l6"
"Dgcr14",0.839244438705663,0.999781696584314,-0.0138791181019485,"Dgcr14"
"Dgcr2",0.743266474794566,0.999781696584314,0.0135837960272278,"Dgcr2"
"Dgcr6",0.783894934375354,0.999781696584314,0.0267298508808698,"Dgcr6"
"Dgcr8",0.8348432222952,0.999781696584314,-0.00840034709793143,"Dgcr8"
"Dgka",0.440786416887885,0.99684247778883,0.0715756164437724,"Dgka"
"Dgkb",0.00730371605736941,0.220182058993335,-0.207898940388758,"Dgkb"
"Dgkd",0.673931178822033,0.999781696584314,-0.0303097675892664,"Dgkd"
"Dgke",0.996133827959826,0.999781696584314,-0.000339157090688192,"Dgke"
"Dgkeos",0.865374373719064,0.999781696584314,0.507703212423333,"Dgkeos"
"Dgkg",0.0228822931913801,0.385396949019513,-0.164838804238567,"Dgkg"
"Dgkh",0.526199601538368,0.999781696584314,-0.116076550893153,"Dgkh"
"Dgki",0.0783328880447371,0.64260643096836,-0.203926813249881,"Dgki"
"Dgkk",0.328656468074389,0.95636824581724,-0.327962741814246,"Dgkk"
"Dgkq",0.505660110051535,0.999781696584314,0.05958932952897,"Dgkq"
"Dgkz",0.126507453149084,0.774047950678938,-0.159690824921387,"Dgkz"
"Dguok",0.181966530748605,0.85681107405215,-0.192351828761326,"Dguok"
"Dhcr24",0.384720919991576,0.977379114609398,-0.080181168243662,"Dhcr24"
"Dhcr7",0.558872234686269,0.999781696584314,-0.0524218616206629,"Dhcr7"
"Dhdds",0.670831851573103,0.999781696584314,0.022059531202671,"Dhdds"
"Dhdh",0.415029040314904,0.985192315810573,0.108829157195909,"Dhdh"
"Dhfr",0.973091259753146,0.999781696584314,0.00411999524823721,"Dhfr"
"Dhodh",0.995522789291855,0.999781696584314,0.000602440386649868,"Dhodh"
"Dhps",0.974224371404871,0.999781696584314,0.003243972836087,"Dhps"
"Dhrs1",0.0606663521324879,0.581649290134741,0.115319391590497,"Dhrs1"
"Dhrs11",0.000750210593744178,0.0544564630988421,0.442835688037751,"Dhrs11"
"Dhrs13",0.00647520057483673,0.205584841578435,0.368783765201736,"Dhrs13"
"Dhrs2",0.567311524780302,0.999781696584314,1.63823745212017,"Dhrs2"
