Gene	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
Vmn1r-ps103|171245	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r-ps79|100042966	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r100|100043536	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r101|100042968	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r103|667129	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r104|667135	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r107|673977	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r10|113858	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r111|667292	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r112|100043569	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r113|436135	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r114|100042996	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r115|667273	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r116|667268	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r117|667262	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r118|667259	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r119|384696	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r11|113860	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r120|435953	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r121|667240	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r122|435951	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r123|384695	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r124|670764	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r125|667215	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r126|100043013	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r127|621561	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r128|667199	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r129|621510	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r12|626397	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r130|100043596	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r131|100043016	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r132|100043604	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r135|667404	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r137|100043614	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r138|100043029	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r139|667444	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r13|113862	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r142|667464	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r143|667469	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r148|81011	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r149|100043051	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r14|113864	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r151|435947	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r152|667504	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r155|667530	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r157|667551	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r158|100043067	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r159|670857	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r15|113863	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r160|620758	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r163|667586	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r165|100043667	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r166|100043088	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r167|622032	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r168|100043101	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r169|100043103	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r16|171202	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r170|546944	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r171|81012	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r172|81010	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r173|545934	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r174|404291	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r175|622222	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r176|546943	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r177|384572	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r178|232959	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r179|404286	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r17|171189	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r180|232962	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r181|404289	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r183|209824	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r184|100312477	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r185|171265	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r186|100039479	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r187|100039499	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r188|252912	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r189|252906	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r18|171199	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r191|632534	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r192|252907	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r193|171259	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r194|626299	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r195|171257	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r196|100312484	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r197|171278	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r198|171254	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r199|171247	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r19|171200	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r1|625823	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r200|171246	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r201|171255	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r202|171258	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r203|171270	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r204|632793	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r205|171251	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r206|171250	4	0	0	13	0	0	0	0	0	0	0	0
Vmn1r207-ps|432735	0	0	0	1	0	0	0	0	0	0	0	0
Vmn1r208|171252	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r209|432736	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r20|434017	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r210|171269	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r211|171277	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r212|171275	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r213|171249	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r214|171248	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r215|171253	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r216|171279	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r217|171273	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r218|171256	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r219|171272	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r21|171201	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r220|171271	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r221|100312485	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r222|171274	0	0	0	2	0	0	0	0	0	0	0	0
Vmn1r223|100036518	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r224|665525	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r225|171228	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r226|171225	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r227|171229	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r228|171226	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r229|171224	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r22|171196	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r230|171231	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r231|171230	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r232|171227	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r233|171236	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r234|171232	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r235|171233	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r236|171235	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r237|171234	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r238|100312476	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r23|171197	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r24|171191	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r25|113865	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r26|171190	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r27|171206	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r28|171198	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r29|113859	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r2|100312470	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r30|171195	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r31|626828	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r32|171188	0	0	0	5	0	0	0	0	0	0	0	0
Vmn1r33|171187	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r34|546901	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r35|171185	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r36|171184	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r37|171183	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r38|171186	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r39|546903	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r3|100312471	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r40|113855	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r41|113857	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r42|113848	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r43|113847	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r44|113854	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r45|22297	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r46|113856	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r47|113846	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r48|113845	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r49|24112	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r4|171194	0	0	0	0	0	0	1	1	0	0	0	0
Vmn1r50|113852	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r51|22296	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r52|113849	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r53|113853	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r54|113851	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r55|384522	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r56|81015	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r57|665150	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r58|81014	671	664	795	699	1208	627	594	604	734	629	542	601
Vmn1r59|404284	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r5|171192	1	0	0	0	0	0	0	0	0	0	0	0
Vmn1r60|636697	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r61|636731	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r62|81016	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r63|81017	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r64|404285	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r65|81013	67	61	84	70	62	105	61	57	78	62	63	39
Vmn1r66|171264	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r67|171263	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r68|628580	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r69|252904	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r6|171193	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r70|171262	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r71|252910	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r72|252905	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r73|171237	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r74|171240	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r75|171241	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r76|171239	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r77|628946	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r78|171242	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r79|100042437	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r7|434016	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r80|171238	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r81|171244	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r82|171268	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r83|171243	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r84|171267	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r85|252909	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r86|100312473	2	0	0	0	0	0	0	0	0	0	0	0
Vmn1r87|171261	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r88|100312474	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r89|171260	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r8|171205	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r90|627280	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r91|667067	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r93|404290	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r94|620537	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r95|100312475	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r9|171203	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r-ps11|319210	0	0	0	0	0	0	0	0	1	0	0	0
Vmn2r-ps129|665976	38	36	42	21	37	41	43	27	49	33	37	32
Vmn2r-ps159|22314	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r-ps54|75835	8	1	2	0	0	0	0	0	0	4	5	1
